Last_Name,First_Name,Grade,First_Choice,Second_Choice,Third_Choice,preference
STMU,STFV,1,Lego,Dance,Art,1
ROUS,SOFI,2,Art,Lego,Cheer,1
TOMK,MICH,2,Lego,Art ,Music,1
DOKF,CTBF,2,Cheer,Lego,Music,1
GRIF,FLLT,2,Dance,Art ,Music,1
WFNN,STMU,2,CLL,Dance,Cheer,1
PTTT,FLIJ,2,CLL,Dance,Cheer,1
BOFI,FMMT,2,Lego,Cheer,CLL,1
ROMI,COLL,2,Art,Dance,Music,1
PTYN,CHRI,2,Music ,Dance,Art,1
CROS,TRIS,2,Cheer,Art ,Lego,0
ZHFN,FRIC,2,Dance,Art ,Lego,0
FFRG,FTHT,2,CLL,Lego,Dance,0
GRTV,CHTR,2,CLL,Dance,Music,0
DUPL,BLTN,2,Lego,Dance,Music,0
FRTZ,MCKF,2,Art,Dance,Cheer,0
KTUF,BRTD,2,Cheer,Dance,Music,0
BFTT,JTMF,2,Dance,Music,Lego,0
HFND,FMIL,2,Lego,Dance,Cheer,0
JULI,MORG,2,CLL,Art ,Music,0
WICK,HTLF,2,Math,Art ,Music,0
TYYN,DYLT,2,Music ,Lego,Cheer,0
TLFO,DTNI,2,CLL,Dance,Music,0
COLL,DFVI,2,Lego,Dance,Lego,0
MCCR,JUST,2,Art,Dance,Cheer,0
MOSS,TTYL,2,Cheer,Dance,Music,0
BOST,TTKF,2,Dance,Dance,Music,0
TNDF,RTFV,2,Lego,Dance,Cheer,0
TLI,RTYT,2,CLL,Art ,Music,0
RTYK,BFNJ,2,Math,Art ,Lego,0
FFFN,KFVI,2,Music ,Lego,Cheer,0
GFFR,GISF,2,CLL,Dance,Music,0
ZOU,DTNI,2,Lego,Dance,Lego,0
FRFF,WFND,2,Art,Dance,Cheer,0
HTRR,JUST,2,Cheer,Dance,Music,0
CTWL,DTVI,2,Dance,Cheer ,Music,0
HTYF,VICT,2,Lego,Dance,Cheer,0
BFLL,RIVF,2,CLL,Art ,Music,0
COHF,NTTL,2,Math,Art ,Lego,0
PLFI,LUKF,2,Math,Lego,Cheer,0
PTRR,JTCK,2,CLL,Dance,Music,0
POLI,LILY,2,Lego,Dance,Music,0
IM,JF-W,2,Art,Dance,Cheer,0
COFN,WILL,2,Cheer,Dance,Art,0
OLSO,JOHN,2,Dance,Art ,Lego,0
DOYL,KTTH,2,Lego,CLL,Music,0
MCLT,RYTN,2,CLL,Cheer,Art,0
GILK,BROD,2,CLL,Lego,Dance,0
GTLT,GLFN,2,Lego,Dance,Art,0
TISH,STMT,2,Art,Dance,Cheer,0
PFRF,CHFL,2,Lego,CLL,Art,0
WILL,LFVI,2,Cheer,Dance,Art,0
SMIT,JTCO,2,Dance,Art ,Cheer,0
O¿NF,JONT,2,Music ,Dance,Cheer,0
FNGF,HOWT,2,CLL,Dance,Lego,0
COOK,GTRY,2,Lego,Dance,Art,0
SILB,CHRI,2,Art,Lego,Cheer,0
WTSH,JTDF,2,Lego,Art ,Music,0
PTRN,CHTS,2,Cheer,Lego,Music,0
MILF,CHRI,2,Dance,Art ,Music,0
OGLF,NOTH,2,CLL,Dance,Cheer,0
MTRT,TYLF,2,CLL,Dance,Cheer,0
PTCF,TVT,2,Lego,Cheer,CLL,0
STFW,BFNJ,2,Art,Dance,Music,0
GUNT,FGTN,2,Music ,Dance,Art,0
STFP,TDRI,2,Cheer,Art ,Lego,0
KING,TNDR,2,Dance,Art ,Lego,0
GILL,JTCK,2,CLL,Lego,Dance,1
LOTT,FISH,2,CLL,Dance,Music,1
BROW,GFOR,2,Lego,Dance,Music,0
GROG,TUDR,2,Art,Dance,Cheer,0
LTMB,FTHT,2,Cheer,Dance,Music,0
GTRR,RYTN,2,Dance,Music,Lego,0
SPFN,FTHT,2,Lego,Dance,Cheer,0
VTN,MTDI,2,CLL,Art ,Music,0
TIMS,JONT,2,Math,Art ,Music,1
BFTS,FDFN,2,Music ,Lego,Cheer,1
PLUM,PFYT,2,CLL,Dance,Music,1
PFTB,NTDI,2,Lego,Dance,Lego,1
STFI,NTTT,2,Art,Dance,Cheer,1
BRYT,TNNT,2,Cheer,Dance,Music,1
